"Tree","Stand","Species","Host","Year","age","inc","dbh","dbh.lag"
1,"06","Pima","Non-Host",1985,1,0.366,0.0732,0
1,"06","Pima","Non-Host",1986,2,0.3975,0.1527,0.0732
1,"06","Pima","Non-Host",1987,3,0.307,0.2141,0.1527
1,"06","Pima","Non-Host",1988,4,0.333,0.2807,0.2141
1,"06","Pima","Non-Host",1989,5,0.4385,0.3684,0.2807
1,"06","Pima","Non-Host",1990,6,0.574,0.4832,0.3684
1,"06","Pima","Non-Host",1991,7,0.568,0.5968,0.4832
1,"06","Pima","Non-Host",1992,8,0.6985,0.7365,0.5968
1,"06","Pima","Non-Host",1993,9,0.1405,0.7646,0.7365
1,"06","Pima","Non-Host",1994,10,0.1925,0.8031,0.7646
1,"06","Pima","Non-Host",1995,11,0.307,0.8645,0.8031
1,"06","Pima","Non-Host",1996,12,0.2285,0.9102,0.8645
1,"06","Pima","Non-Host",1997,13,0.248,0.9598,0.9102
1,"06","Pima","Non-Host",1998,14,0.512,1.0622,0.9598
1,"06","Pima","Non-Host",1999,15,0.842,1.2306,1.0622
1,"06","Pima","Non-Host",2000,16,1.0485,1.4403,1.2306
1,"06","Pima","Non-Host",2001,17,0.932,1.6267,1.4403
1,"06","Pima","Non-Host",2002,18,0.6975,1.7662,1.6267
1,"06","Pima","Non-Host",2003,19,1.137,1.9936,1.7662
1,"06","Pima","Non-Host",2004,20,0.791,2.1518,1.9936
1,"06","Pima","Non-Host",2005,21,1.131,2.378,2.1518
1,"06","Pima","Non-Host",2006,22,1.5175,2.6815,2.378
1,"06","Pima","Non-Host",2007,23,1.5315,2.9878,2.6815
2,"06","Pima","Non-Host",1968,5,0.3945,0.286,0.2071
2,"06","Pima","Non-Host",1969,6,0.288,0.3436,0.286
2,"06","Pima","Non-Host",1970,7,0.1915,0.3819,0.3436
2,"06","Pima","Non-Host",1971,8,0.1075,0.4034,0.3819
2,"06","Pima","Non-Host",1972,9,0.106,0.4246,0.4034
2,"06","Pima","Non-Host",1973,10,0.2765,0.4799,0.4246
2,"06","Pima","Non-Host",1974,11,0.2345,0.5268,0.4799
2,"06","Pima","Non-Host",1975,12,0.4895,0.6247,0.5268
2,"06","Pima","Non-Host",1976,13,0.514,0.7275,0.6247
2,"06","Pima","Non-Host",1977,14,0.478,0.8231,0.7275
